# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 21 1 1 83 30 30288 2.74
32 32 21 1 2 152 30 30064 5.06
32 32 21 1 3 185 30 30233 6.12
32 32 21 1 4 214 30 30352 7.05
32 32 21 1 5 213 30 30350 7.02
32 32 21 1 6 214 30 30467 7.02
32 32 21 1 7 213 30 30598 6.96
32 32 21 1 8 210 30 30741 6.83
