# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 128 3  1 1
32 32 256 3  2 1856
32 32 512 3  4 1856
32 32 1024 3  8 2496
32 32 2048 3 16 2496
32 32 4096 3 31 2496
32 32 8192 3 63 6720
32 32 16384 3 127 15104
32 32 32768 3 258 32064
32 32 65535 3 524 65856
32 32 131072 3 1070 132992
32 32 262144 3 2166 264064
32 32 524288 3 4388 526208
32 32 1048576 3 8851 1050496
32 32 2097152 3 17806 2099072
