#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|           dieharder/lanarea.dat|  1.56e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
# The file file_input_raw was rewound 49 times
      rgb_lagged_sum|   0|   1000000|     100|0.12453602|  PASSED  
# The file file_input_raw was rewound 51 times
      rgb_lagged_sum|   1|   1000000|     100|0.79934209|  PASSED  
# The file file_input_raw was rewound 54 times
      rgb_lagged_sum|   2|   1000000|     100|0.80856469|  PASSED  
# The file file_input_raw was rewound 58 times
      rgb_lagged_sum|   3|   1000000|     100|0.24523616|  PASSED  
# The file file_input_raw was rewound 63 times
      rgb_lagged_sum|   4|   1000000|     100|0.42114361|  PASSED  
# The file file_input_raw was rewound 68 times
      rgb_lagged_sum|   5|   1000000|     100|0.44747197|  PASSED  
# The file file_input_raw was rewound 75 times
      rgb_lagged_sum|   6|   1000000|     100|0.61140500|  PASSED  
# The file file_input_raw was rewound 83 times
      rgb_lagged_sum|   7|   1000000|     100|0.15478190|  PASSED  
# The file file_input_raw was rewound 91 times
      rgb_lagged_sum|   8|   1000000|     100|0.99972087|   WEAK   
# The file file_input_raw was rewound 101 times
      rgb_lagged_sum|   9|   1000000|     100|0.80774587|  PASSED  
# The file file_input_raw was rewound 111 times
      rgb_lagged_sum|  10|   1000000|     100|0.83889640|  PASSED  
# The file file_input_raw was rewound 123 times
      rgb_lagged_sum|  11|   1000000|     100|0.99026223|  PASSED  
# The file file_input_raw was rewound 135 times
      rgb_lagged_sum|  12|   1000000|     100|0.51595221|  PASSED  
# The file file_input_raw was rewound 149 times
      rgb_lagged_sum|  13|   1000000|     100|0.54737713|  PASSED  
# The file file_input_raw was rewound 163 times
      rgb_lagged_sum|  14|   1000000|     100|0.32190599|  PASSED  
# The file file_input_raw was rewound 178 times
      rgb_lagged_sum|  15|   1000000|     100|0.00000267|   WEAK   
# The file file_input_raw was rewound 194 times
      rgb_lagged_sum|  16|   1000000|     100|0.32597363|  PASSED  
# The file file_input_raw was rewound 211 times
      rgb_lagged_sum|  17|   1000000|     100|0.84673235|  PASSED  
# The file file_input_raw was rewound 230 times
      rgb_lagged_sum|  18|   1000000|     100|0.98288193|  PASSED  
# The file file_input_raw was rewound 249 times
      rgb_lagged_sum|  19|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 269 times
      rgb_lagged_sum|  20|   1000000|     100|0.58398166|  PASSED  
# The file file_input_raw was rewound 290 times
      rgb_lagged_sum|  21|   1000000|     100|0.34113365|  PASSED  
# The file file_input_raw was rewound 312 times
      rgb_lagged_sum|  22|   1000000|     100|0.97514701|  PASSED  
# The file file_input_raw was rewound 335 times
      rgb_lagged_sum|  23|   1000000|     100|0.00682823|  PASSED  
# The file file_input_raw was rewound 358 times
      rgb_lagged_sum|  24|   1000000|     100|0.79666410|  PASSED  
# The file file_input_raw was rewound 383 times
      rgb_lagged_sum|  25|   1000000|     100|0.74733049|  PASSED  
# The file file_input_raw was rewound 409 times
      rgb_lagged_sum|  26|   1000000|     100|0.92145999|  PASSED  
# The file file_input_raw was rewound 436 times
      rgb_lagged_sum|  27|   1000000|     100|0.79057967|  PASSED  
# The file file_input_raw was rewound 463 times
      rgb_lagged_sum|  28|   1000000|     100|0.98629728|  PASSED  
# The file file_input_raw was rewound 492 times
      rgb_lagged_sum|  29|   1000000|     100|0.92397007|  PASSED  
# The file file_input_raw was rewound 521 times
      rgb_lagged_sum|  30|   1000000|     100|0.88389305|  PASSED  
# The file file_input_raw was rewound 552 times
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 583 times
      rgb_lagged_sum|  32|   1000000|     100|0.26015636|  PASSED  
# The file file_input_raw was rewound 584 times
     rgb_kstest_test|   0|     10000|    1000|0.43577378|  PASSED  
# The file file_input_raw was rewound 585 times
     dab_bytedistrib|   0|  51200000|       1|0.84289488|  PASSED  
# The file file_input_raw was rewound 585 times
             dab_dct| 256|     50000|       1|0.87530694|  PASSED  
# The file file_input_raw was rewound 586 times
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.26714025|  PASSED  
        dab_filltree|  32|  15000000|       1|0.05966442|  PASSED  
# The file file_input_raw was rewound 586 times
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.74756407|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.43886043|  PASSED  
# The file file_input_raw was rewound 587 times
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.93472252|  PASSED  
