# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 4 0  6 216
32 32 5 0  9 468
32 32 6 0 13 732
32 32 7 0 21 1260
32 32 8 0 43 2104
32 32 9 0 83 4216
32 32 10 0 165 8176
32 32 11 0 322 16572
32 32 12 0 645 32940
32 32 13 0 1282 65676
32 32 14 0 2565 131412
32 32 15 0 5133 262356
32 32 16 0 10270 524508
32 32 17 0 20539 1048812
32 32 18 0 41091 2097420
