# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 131072 2 144 506 10 11723 43.16
32 32 131072 2 145 522 10 12188 42.83
32 32 131072 2 146 499 10 11866 42.05
32 32 131072 2 147 510 10 12594 40.50
32 32 131072 2 148 504 10 11673 43.18
32 32 131072 2 149 512 10 11884 43.08
32 32 131072 2 150 502 10 11908 42.16
32 32 131072 2 151 517 10 12403 41.68
32 32 131072 2 152 510 10 12284 41.52
32 32 131072 2 153 512 10 12219 41.90
32 32 131072 2 154 530 10 12744 41.59
32 32 131072 2 155 525 10 12866 40.81
32 32 131072 2 156 511 10 12289 41.58
32 32 131072 2 157 515 10 12362 41.66
32 32 131072 2 158 509 10 12893 39.48
32 32 131072 2 159 509 10 13028 39.07
32 32 131072 2 160 507 10 12622 40.17
