# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 128 2  1 256
32 32 256 2  2 1620
32 32 512 2  2 1692
32 32 1024 2  4 1548
32 32 2048 2  7 2240
32 32 4096 2 15 4292
32 32 8192 2 27 8384
32 32 16384 2 48 16516
32 32 32768 2 72 32960
32 32 65535 2 151 65724
32 32 131072 2 317 131264
32 32 262144 2 767 262340
32 32 524288 2 1719 524480
32 32 1048576 2 2959 1048768
32 32 2097152 2 5233 2097284
