# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 16384 2 1 1060 30 30024 35.30
32 32 16384 2 2 1617 30 30032 53.84
32 32 16384 2 3 1743 30 30038 58.03
32 32 16384 2 4 1790 30 30031 59.61
32 32 16384 2 5 1786 30 30048 59.44
32 32 16384 2 6 1782 30 30067 59.27
32 32 16384 2 7 1775 30 30052 59.06
32 32 16384 2 8 1762 30 30081 58.58
