# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 1
32 32 1 0  0 1
32 32 2 0  0 1
32 32 3 0  1 1
32 32 4 0  1 1020
32 32 5 0  2 1056
32 32 6 0  4 1460
32 32 7 0  7 1844
32 32 8 0 12 2960
32 32 9 0 20 5108
32 32 10 0 32 9132
32 32 11 0 63 17416
32 32 12 0 130 33808
32 32 13 0 262 66384
32 32 14 0 555 132028
32 32 15 0 1091 262960
32 32 16 0 2138 525056
32 32 17 0 4302 1049360
32 32 18 0 8623 2097856
32 32 19 0 17214 4195228
32 32 20 0 34474 8389660
