# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 128 5  2 312
32 32 256 5  2 1608
32 32 512 5  4 1612
32 32 1024 5  4 1600
32 32 2048 5  8 2236
32 32 4096 5 14 4284
32 32 8192 5 35 8320
32 32 16384 5 65 16572
32 32 32768 5 114 32956
32 32 65535 5 201 65720
32 32 131072 5 529 131196
32 32 262144 5 1451 262272
32 32 524288 5 2814 524476
32 32 1048576 5 4771 1048700
