# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 1008
32 32 1 0  0 1100
32 32 2 0  0 1076
32 32 3 0  0 1012
32 32 4 0  0 1216
32 32 5 0  1 1140
32 32 6 0  1 1456
32 32 7 0  2 1928
32 32 8 0  5 3056
32 32 9 0  9 5096
32 32 10 0 18 9112
32 32 11 0 38 17440
32 32 12 0 76 33828
32 32 13 0 154 66484
32 32 14 0 311 131984
32 32 15 0 622 263176
32 32 16 0 1257 525132
32 32 17 0 2521 1049408
32 32 18 0 5073 2097960
32 32 19 0 10399 4195252
